id,etf_code,date,start_price,last_price,weekly_return,monthly_return
291,489030,2025-04-25,9000,9280,3.11,2.11
292,461500,2025-04-25,115650,115760,0.1,1.16
293,150460,2025-04-25,6610,6680,1.06,5.03
294,204480,2025-04-25,16550,17025,2.87,-14.27
295,325010,2025-04-25,13880,14195,2.27,-3.4
296,442320,2025-04-25,17980,18720,4.12,-4.07
297,400970,2025-04-25,6430,6505,1.17,-1.66
298,453330,2025-04-25,12910,13390,3.72,-4.45
299,267770,2025-04-25,11190,11795,5.41,-8.67
300,310960,2025-04-25,19055,19580,2.76,-3.55
301,275980,2025-04-25,15150,15890,4.88,-5.5
302,329660,2025-04-25,15620,15990,2.37,-1.72
303,452250,2025-04-25,5560,5600,0.72,-3.95
304,292560,2025-04-25,9440,9485,0.48,2.6
305,114820,2025-04-25,108050,108195,0.13,1.06
306,308620,2025-04-25,11990,12045,0.46,-1.39
307,476690,2025-04-25,8915,9255,3.81,-10.18
308,465610,2025-04-25,17610,20100,14.14,-18.8
309,0026S0,2025-04-25,9225,9625,4.34,-6.6
310,441540,2025-04-25,19960,21420,7.31,19.7
311,473590,2025-04-25,14370,15810,10.02,-4.15
312,469070,2025-04-25,9015,9015,0.0,3.74
313,480310,2025-04-25,8840,9520,7.69,-9.72
314,464310,2025-04-25,10950,11590,5.84,-9.63
315,468820,2025-04-25,54525,54560,0.06,0.31
316,486830,2025-04-25,51390,51420,0.06,0.28
317,266420,2025-04-25,16810,16900,0.54,0.42
318,475350,2025-04-25,12130,12575,3.67,-5.42
319,449770,2025-04-25,15110,15880,5.1,-6.53
320,365000,2025-04-25,3770,3765,-0.13,-1.83
321,278240,2025-04-25,7855,8110,3.25,1.12
322,480040,2025-04-25,7515,7950,5.79,-15.15
323,494310,2025-04-25,7305,7960,8.97,-18.57
324,138540,2025-04-25,27045,27730,2.53,-6.88
325,174360,2025-04-25,17770,18195,2.39,-5.6
326,412570,2025-04-25,939,981,4.47,-22.76
327,458750,2025-04-25,10670,10785,1.08,-9.85
328,399110,2025-04-25,14670,15250,3.95,-7.07
329,233160,2025-04-25,7830,8070,3.07,0.31
330,440640,2025-04-25,110095,110160,0.06,0.35
331,471760,2025-04-25,7390,7990,8.12,-8.48
332,261270,2025-04-25,7955,7885,-0.88,2.2
333,251600,2025-04-25,12500,12685,1.48,1.69
334,195980,2025-04-25,9660,9875,2.23,-2.71
335,315960,2025-04-25,17820,18350,2.97,-8.07
336,236350,2025-04-25,41320,43525,5.34,0.26
337,139280,2025-04-25,10055,10200,1.44,-1.35
338,329670,2025-04-25,17730,18300,3.21,-3.28
339,461460,2025-04-25,56970,57135,0.29,2.22
340,437070,2025-04-25,60055,61285,2.05,-2.64
341,414270,2025-04-25,9370,10270,9.61,-8.71
342,266160,2025-04-25,13200,13510,2.35,-1.46
343,476070,2025-04-25,9125,9420,3.23,-10.5
344,434730,2025-04-25,20180,20470,1.44,2.17
345,497880,2025-04-25,50110,50140,0.06,0.3
346,252710,2025-04-25,2440,2310,-5.33,5.0
347,471460,2025-04-25,67835,67650,-0.27,2.67
348,261240,2025-04-25,14135,14240,0.74,-2.2
349,460960,2025-04-25,10525,10780,2.42,-5.51
350,463250,2025-04-25,19935,20270,1.68,11.34
351,261220,2025-04-25,13625,13565,-0.44,-7.72
352,245360,2025-04-25,12070,12565,4.1,-7.3
353,453080,2025-04-25,14920,15670,5.03,-4.31
354,269540,2025-04-25,21495,22300,3.75,-4.54
355,272910,2025-04-25,108855,109050,0.18,1.45
356,484880,2025-04-25,11120,11660,4.86,2.42
357,491010,2025-04-25,10380,11105,6.98,-8.68
358,395290,2025-04-25,7775,7750,-0.32,0.32
359,455960,2025-04-25,11790,11925,1.15,-1.77
360,237350,2025-04-25,25940,26610,2.58,-4.0
361,123320,2025-04-25,14485,15290,5.56,-8.47
362,468380,2025-04-25,11145,11380,2.11,-3.14
363,465330,2025-04-25,7380,7620,3.25,-9.88
364,139660,2025-04-25,8285,8200,-1.03,1.99
365,487910,2025-04-25,9030,9410,4.21,-0.42
366,203780,2025-04-25,20800,22035,5.94,-8.72
367,447620,2025-04-25,12490,12850,2.88,-2.36
368,490480,2025-04-25,17895,18380,2.71,13.32
369,204450,2025-04-25,2245,2415,7.57,-13.6
370,426020,2025-04-25,18120,19235,6.15,-6.6
371,461600,2025-04-25,8845,8895,0.57,-1.88
372,461260,2025-04-25,10837,10845,0.07,0.32
373,469170,2025-04-25,4740,4735,-0.11,-7.97
374,453650,2025-04-25,16485,17180,4.22,-5.34
375,280930,2025-04-25,11270,11635,3.24,-7.29
376,448490,2025-04-25,58495,58665,0.29,2.16
377,490590,2025-04-25,8495,9165,7.89,-9.88
378,475260,2025-04-25,10485,10500,0.14,0.46
379,395170,2025-04-25,7075,7225,2.12,-3.54
380,411420,2025-04-25,12505,13510,8.04,-4.12
381,464470,2025-04-25,51720,52450,1.41,-4.02
382,426150,2025-04-25,59650,59670,0.03,1.85
383,225040,2025-04-25,35365,38065,7.63,-10.62
384,403790,2025-04-25,20320,20760,2.17,-2.28
385,490600,2025-04-25,8950,9105,1.73,-8.9
386,471040,2025-04-25,12090,12980,7.36,-8.59
387,472830,2025-04-25,9200,9325,1.36,-4.05
388,278620,2025-04-25,116955,117030,0.06,0.44
389,496090,2025-04-25,9770,10000,2.35,-4.58
390,454320,2025-04-25,15135,15570,2.87,-0.73
391,385720,2025-04-25,9470,9600,1.37,-0.83
392,496770,2025-04-25,14800,13940,-5.81,-0.04
393,336160,2025-04-25,103765,103855,0.09,0.96
394,101280,2025-04-25,21805,22567,3.49,-4.15
395,495050,2025-04-25,9690,9930,2.48,-4.27
396,322400,2025-04-25,10005,10005,0.0,-0.6
397,0000D0,2025-04-25,8690,8820,1.5,-7.52
398,475270,2025-04-25,10480,10485,0.05,0.29
399,423170,2025-04-25,15315,16500,7.74,-10.67
400,456680,2025-04-25,5185,5930,14.37,-18.93
401,099140,2025-04-25,20855,21840,4.72,-7.34
402,152870,2025-04-25,33790,34665,2.59,-3.76
403,122260,2025-04-25,103940,103990,0.05,0.42
404,476030,2025-04-25,11045,11675,5.7,-6.34
405,266360,2025-04-25,11450,11405,-0.39,-2.4
406,359210,2025-04-25,12620,12935,2.5,-2.19
407,102970,2025-04-25,7950,8550,7.55,3.39
408,0008E0,2025-04-25,7825,8195,4.73,-5.53
409,396520,2025-04-25,6765,6790,0.37,-4.57
410,279530,2025-04-25,10580,10800,2.08,3.61
411,385510,2025-04-25,16230,17035,4.96,3.56
412,0007N0,2025-04-25,33295,34105,2.43,-3.89
413,407830,2025-04-25,11030,11995,8.75,-5.85
414,108450,2025-04-25,13605,13795,1.4,-3.53
415,477730,2025-04-25,8950,9365,4.64,-1.94
416,447430,2025-04-25,14125,14240,0.81,1.17
417,0008T0,2025-04-25,11000,11125,1.14,7.9
418,371470,2025-04-25,6130,6705,9.38,2.76
419,117700,2025-04-25,3205,3270,2.03,5.31
420,152380,2025-04-25,71780,71995,0.3,2.22
421,458030,2025-04-25,53645,53665,0.04,0.3
422,276970,2025-04-25,7985,8065,1.0,-1.95
423,332500,2025-04-25,21885,22460,2.63,-3.67
424,466930,2025-04-25,9865,10075,2.13,-11.12
425,469150,2025-04-25,12185,12940,6.2,-6.81
426,138230,2025-04-25,16075,16210,0.84,-2.08
427,475380,2025-04-25,10175,10275,0.98,-3.51
428,453820,2025-04-25,16690,17475,4.7,0.09
429,491620,2025-04-25,8705,9290,6.72,-7.8
430,337160,2025-04-25,13080,13475,3.02,-5.07
431,445150,2025-04-25,18835,20035,6.37,19.43
432,453010,2025-04-25,107280,107330,0.05,0.22
433,195970,2025-04-25,12665,12720,0.43,-1.32
434,195930,2025-04-25,17730,18665,5.27,-3.86
435,261250,2025-04-25,16180,16445,1.64,-4.64
436,433980,2025-04-25,13245,13550,2.3,-2.45
437,421320,2025-04-25,17950,18460,2.84,7.92
